PLAYER,POS.,2014,2015,2016,2017,2018,
Jason Spezza,C,"$7,000,000 ","$7,500,000 ","$7,500,000 ","$7,500,000 ","$7,500,000 ",
Kari Lehtonen,G,"$5,900,000 ","$5,900,000 ","$5,900,000 ","$5,900,000 ",UFA,
Tyler Seguin,C,"$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ","$5,750,000 ",
Shawn Horcoff,C,"$5,500,000 ",UFA,-,-,-,
Jamie Benn,LW,"$5,250,000 ","$5,250,000 ","$5,250,000 ",UFA,-,
Alex Goligoski,D,"$4,600,000 ","$4,600,000 ",UFA,-,-,
Erik Cole,LW,"$4,500,000 ",UFA,-,-,-,
Ales Hemsky,RW,"$4,000,000 ","$4,000,000 ","$4,000,000 ",UFA,-,
Trevor Daley,D,"$3,300,000 ","$3,300,000 ","$3,300,000 ",UFA,-,
Rich Peverley,C,"$3,250,000 ",UFA,-,-,-,
Antoine Roussel,LW,"$2,000,000 ","$2,000,000 ","$2,000,000 ","$2,000,000 ",UFA,
Cody Eakin,C,"$1,900,000 ","$1,900,000 ",RFA,-,-,
Ryan Garbutt,LW,"$1,800,000 ","$1,800,000 ","$1,800,000 ",UFA,-,
Jason Demers,D,"$1,687,204 ","$3,400,000 ",UFA,-,-,
Travis Moen,LW,"$1,511,827 ","$1,850,000 ",UFA,-,-,
Vernon Fiddler,C,"$1,250,000 ","$1,250,000 ",UFA,-,-,
Valeri Nichushkin,RW,"$925,000 ","$925,000 ",RFA,-,-,
Patrik Nemeth,D,"$870,000 ",RFA,-,-,-,
Jordie Benn,D,"$700,000 ","$700,000 ",UFA,-,-,
Colton Sceviour,C,"$650,000 ","$650,000 ",UFA,-,-,
Patrick Eaves,RW,"$650,000 ",UFA,-,-,-,
David Schlemko,D,"$632,322 ",UFA,-,-,-,
John Klingberg,D,"$590,609 ",RFA,-,-,-,
Jyrki Jokipakka,D,"$487,454 ",RFA,-,-,-,
Curtis McKenzie,LW,"$425,268 ",RFA,-,-,-,
Brett Ritchie,RW,"$415,837 ",ERFA,-,-,-,
Jhonas Enroth,G,"$403,225 ",UFA,-,-,-,
Tristan King,C,-,-,-,-,-,
Hubert Labrie,D,-,-,-,-,-,
Sergei Gonchar,D,"$913,978 ",-,-,-,-,2014 Dead Money
Jason Demers,D,"$804,301 ",-,-,-,-,2014 Dead Money
Anders Lindback,G,"$626,613 ",-,-,-,-,2014 Dead Money
Brenden Dillon,D,"$295,698 ",-,-,-,-,2014 Dead Money
Kevin Connauton,D,"$150,553 ",-,-,-,-,2014 Dead Money
