PLAYER,POS.,2014,2015,2016,2017,2018,X
Erik Karlsson,D,"$6,500,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ","$6,500,000 ",
Bobby Ryan,RW,"$5,100,000 ","$7,250,000 ","$7,250,000 ","$7,250,000 ","$7,250,000 ",
Milan Michalek,LW,"$4,000,000 ","$4,000,000 ","$4,000,000 ",UFA,-,
Kyle Turris,C,"$3,500,000 ","$3,500,000 ","$3,500,000 ","$3,500,000 ",UFA,
Clarke MacArthur,LW,"$3,250,000 ","$4,650,000 ","$4,650,000 ","$4,650,000 ","$4,650,000 ",
Craig Anderson,G,"$3,187,500 ","$4,200,000 ","$4,200,000 ","$4,200,000 ",-,
Jared Cowen,D,"$3,100,000 ","$3,100,000 ","$3,100,000 ",RFA,-,
Marc Methot,D,"$3,000,000 ",UFA,-,-,-,
David Legwand,C,"$3,000,000 ","$3,000,000 ",UFA,-,-,
Chris Phillips,D,"$2,500,000 ","$2,500,000 ",UFA,-,-,
Robin Lehner,G,"$2,225,000 ","$2,225,000 ","$2,225,000 ",RFA,-,
Patrick Wiercioch,D,"$2,000,000 ","$2,000,000 ",RFA,-,-,
Chris Neil,RW,"$1,900,000 ","$1,900,000 ",UFA,-,-,
Zack Smith,C,"$1,887,500 ","$1,887,500 ","$1,887,500 ",UFA,-,
Eric Gryba,D,"$1,250,000 ","$1,250,000 ",UFA,-,-,
Erik Condra,RW,"$1,250,000 ",UFA,-,-,-,
Alex Chiasson,RW,"$900,000 ",RFA,-,-,-,
Mika Zibanejad,C,"$894,167 ",RFA,-,-,-,
Curtis Lazar,C,"$802,827 ","$894,167 ",RFA,-,-,
Mike Hoffman,LW,"$750,000 ",RFA,-,-,-,
Mark Stone,RW,"$603,333 ",RFA,-,-,-,
Mark Borowiecki,D,"$575,000 ","$1,100,000 ","$1,100,000 ","$1,100,000 ",-,
Andrew Hammond,G,"$309,677 ",RFA,-,-,-,
